depute_nom,groupe_abrev,scrutin_num,scrutin_date,vote_position,vote_dissident,scrutin_groupe,scrutin_fulldesc,scrutin_dossierLibelle,scrutin_typeLibelle,scrutin_typedetail
Mme Valéria Faure-Muntian,LAREM,104,28/07/2017,absent,False,Gouvernement,Scrutin n° 104 du 28/07/2017 : l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,"Pouvoirs publics : confiance dans l'action publique
",Scrutins solennels sur l'ensemble d'un texte,loi
M. Régis Juanico,SOC,105,01/08/2017,pour,False,Gouvernement,"Scrutin n° 105 du 01/08/2017 : la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,motion
M. Julien Borowczyk,LAREM,105,01/08/2017,contre,False,Gouvernement,"Scrutin n° 105 du 01/08/2017 : la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,motion
Mme Valéria Faure-Muntian,LAREM,105,01/08/2017,contre,False,Gouvernement,"Scrutin n° 105 du 01/08/2017 : la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,motion
M. Jean-Michel Mis,LAREM,105,01/08/2017,absent,False,Gouvernement,"Scrutin n° 105 du 01/08/2017 : la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,motion
M. Dino Cinieri,LR,105,01/08/2017,absent,False,Gouvernement,"Scrutin n° 105 du 01/08/2017 : la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,motion
Mme Nathalie Sarles,LAREM,105,01/08/2017,absent,False,Gouvernement,"Scrutin n° 105 du 01/08/2017 : la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,motion
M. Julien Borowczyk,LAREM,39,13/07/2017,contre,False,FI,Scrutin n° 39 du 13/07/2017 : l'amendement n° 234 de M. Quatennens et les amendements identiques suivants à l'article 5 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Jean-Michel Mis,LAREM,39,13/07/2017,contre,False,FI,Scrutin n° 39 du 13/07/2017 : l'amendement n° 234 de M. Quatennens et les amendements identiques suivants à l'article 5 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
M. Régis Juanico,SOC,39,13/07/2017,absent,False,FI,Scrutin n° 39 du 13/07/2017 : l'amendement n° 234 de M. Quatennens et les amendements identiques suivants à l'article 5 du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (première lecture).,"Travail : mesures pour le renforcement du dialogue social
",Scrutins publics ordinaires,amendement
